"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TAXWEDGE","TOT","PC_LC","A","2000",31.011854,
"AUS","TAXWEDGE","TOT","PC_LC","A","2001",27.630069,
"AUS","TAXWEDGE","TOT","PC_LC","A","2002",27.973221,
"AUS","TAXWEDGE","TOT","PC_LC","A","2003",28.246566,
"AUS","TAXWEDGE","TOT","PC_LC","A","2004",28.192745,
"AUS","TAXWEDGE","TOT","PC_LC","A","2005",28.50802,
"AUS","TAXWEDGE","TOT","PC_LC","A","2006",28.281561,
"AUS","TAXWEDGE","TOT","PC_LC","A","2007",27.697401,
"AUS","TAXWEDGE","TOT","PC_LC","A","2008",26.931992,
"AUS","TAXWEDGE","TOT","PC_LC","A","2009",26.748796,
"AUS","TAXWEDGE","TOT","PC_LC","A","2010",26.829039,
"AUS","TAXWEDGE","TOT","PC_LC","A","2011",26.650257,
"AUS","TAXWEDGE","TOT","PC_LC","A","2012",27.273247,
"AUS","TAXWEDGE","TOT","PC_LC","A","2013",27.415207,
"AUS","TAXWEDGE","TOT","PC_LC","A","2014",27.662194,
"AUS","TAXWEDGE","TOT","PC_LC","A","2015",28.344366,
"AUS","TAXWEDGE","TOT","PC_LC","A","2016",28.570916,
"AUS","TAXWEDGE","TOT","PC_LC","A","2017",28.616701,
"AUS","TAXWEDGE","TOT","PC_LC","A","2018",28.889201,
"AUS","TAXWEDGE","TOT","PC_LC","A","2019",27.938607,
"AUS","TAXWEDGE","TOT","PC_LC","A","2020",28.354825,
"AUT","TAXWEDGE","TOT","PC_LC","A","2000",47.312048,
"AUT","TAXWEDGE","TOT","PC_LC","A","2001",46.910884,
"AUT","TAXWEDGE","TOT","PC_LC","A","2002",47.073607,
"AUT","TAXWEDGE","TOT","PC_LC","A","2003",47.377708,
"AUT","TAXWEDGE","TOT","PC_LC","A","2004",48.266145,
"AUT","TAXWEDGE","TOT","PC_LC","A","2005",48.14329,
"AUT","TAXWEDGE","TOT","PC_LC","A","2006",48.453854,
"AUT","TAXWEDGE","TOT","PC_LC","A","2007",48.760437,
"AUT","TAXWEDGE","TOT","PC_LC","A","2008",49.033048,
"AUT","TAXWEDGE","TOT","PC_LC","A","2009",47.948742,
"AUT","TAXWEDGE","TOT","PC_LC","A","2010",48.168771,
"AUT","TAXWEDGE","TOT","PC_LC","A","2011",48.539773,
"AUT","TAXWEDGE","TOT","PC_LC","A","2012",48.839612,
"AUT","TAXWEDGE","TOT","PC_LC","A","2013",49.183759,
"AUT","TAXWEDGE","TOT","PC_LC","A","2014",49.415725,
"AUT","TAXWEDGE","TOT","PC_LC","A","2015",49.616021,
"AUT","TAXWEDGE","TOT","PC_LC","A","2016",47.331796,
"AUT","TAXWEDGE","TOT","PC_LC","A","2017",47.420241,
"AUT","TAXWEDGE","TOT","PC_LC","A","2018",47.618571,
"AUT","TAXWEDGE","TOT","PC_LC","A","2019",47.904752,
"AUT","TAXWEDGE","TOT","PC_LC","A","2020",47.344522,
"BEL","TAXWEDGE","TOT","PC_LC","A","2000",57.103642,
"BEL","TAXWEDGE","TOT","PC_LC","A","2001",56.660819,
"BEL","TAXWEDGE","TOT","PC_LC","A","2002",56.33123,
"BEL","TAXWEDGE","TOT","PC_LC","A","2003",55.74007,
"BEL","TAXWEDGE","TOT","PC_LC","A","2004",55.433739,
"BEL","TAXWEDGE","TOT","PC_LC","A","2005",55.510421,
